filename,width,height,class,xmin,ymin,xmax,ymax
20220625_012134_jpg.rf.bfa1b44b346304cec2ee02ba1f5cdfd7.jpg,640,640,unf,288,203,408,393
IMG_20231218_141600_jpg.rf.bf9cea9403a0835dd79b08a4d718adcf.jpg,640,640,fer,184,276,378,470
IMG_20231218_135834_jpg.rf.bfa6117ae0f5d90a60aed011c7dfc074.jpg,640,640,unf,238,274,364,393
FERTILE-DOWN-041_jpg.rf.bfafd914146b9f8d817365b48b39b259.jpg,640,640,fer,162,73,477,457
FERTILE-DOWN-116_jpg.rf.bfb3a791691a4d025419959dbfb97f75.jpg,640,640,fer,164,104,518,456
20220704_210536_jpg.rf.bfe1e7381b3eaedf364d220e8eee939c.jpg,640,640,unf,204,54,429,358
20220626_181454_jpg.rf.bfe00e38dc3a786c6e28298836d883b0.jpg,640,640,fer,73,250,535,512
IMG_20231218_141617_jpg.rf.bfe30927d0a23e5e61f035f338553758.jpg,640,640,unf,296,288,460,474
INFERTILE-LEFT-163_jpg.rf.bfe5263f60e251a7cc89b02781bd88d8.jpg,640,640,unf,62,150,500,506
INFERTILE-RIGHT-113_jpg.rf.bfb613407732e9ff828184e5325a9cfe.jpg,640,640,unf,162,120,590,466
unfertile_-447-_jpg.rf.bfe4920aac7047a38dd5c953af6c1da7.jpg,640,640,unf,170,4,403,504
FERTILE-DOWN-004_jpg.rf.bfec11ff916d6dda37d329a68044efd5.jpg,640,640,fer,150,206,426,599
IMG_20220730_215006_jpg.rf.bff9c0b1d28e4c567e93b10533b59ae7.jpg,640,640,fer,66,148,527,428
IMG_20231218_141432_jpg.rf.bfbdcb195df8072921be527c20beb8f0.jpg,640,640,unf,243,277,462,493
20220630_215617_jpg.rf.bfbf1846a5f4df1105ca4efb631aab76.jpg,640,640,fer,160,166,374,540
IMG_20231218_141402_jpg.rf.c0059cf2f6a78672e1e6c899719dd6ba.jpg,640,640,unf,208,230,450,484
IMG20231218141538_jpg.rf.bffb5cfcf2e4ffb85fba1d641c38ac37.jpg,640,640,fer,129,254,377,510
FERTILE-LEFT-202_jpg.rf.c0030b9dcfbf93d319de17dc56d0294c.jpg,640,640,fer,80,174,529,508
IMG_20231218_141503_jpg.rf.c00810d4910137361d6c83d6939009ee.jpg,640,640,unf,139,141,379,397
20220625_012830_jpg.rf.bff65dc0722ea0c1a13bb73b688d024a.jpg,640,640,unf,238,290,440,530
INFERTILE-RIGHT-222_jpg.rf.bfbf213e33c7667de45830a0c81fe65c.jpg,640,640,unf,146,110,548,480
IMG_20231218_141901_jpg.rf.c0101182fe7c0bf7db2043b7b819b262.jpg,640,640,unf,375,324,522,473
20220630_221750_jpg.rf.c00b7b1c4bd4a00e241457d40d89ade5.jpg,640,640,fer,137,115,380,531
